"Date","S.P.Composite","Dividend","Earnings","CPI","Long.Interest.Rate","Real.Price","Real.Dividend","Real.Earnings","Cyclically.Adjusted.PE.Ratio"
"1927",15.3433333333333,0.733333333333333,1.16966666666667,17.3583333333333,3.33541666666667,241.372784870175,11.5347296326074,18.3952308260953,15.8568007070428
"1928",19.9533333333333,0.813333333333333,1.25616666666667,17.1583333333333,3.45375,317.461340215065,12.9410175801904,19.9869305172037,21.7894221764666
"1929",26.0183333333333,0.915,1.50458333333333,17.1583333333333,3.45791666666667,413.88785368977,14.5562064291122,23.9347121122415,27.6008331357333
"1930",21.0266666666667,0.975416666666667,1.26333333333333,16.7,3.31291666666667,343.112359120553,15.9510912522043,20.6089829961432,21.4788426397279
"1931",13.6591666666667,0.893333333333333,0.775,15.2083333333333,3.49583333333333,244.193640040258,16.025823023458,13.8746890890917,14.6659329281218
"1932",6.92833333333333,0.646666666666667,0.501666666666667,13.6416666666667,3.51041666666667,138.581990868216,12.9025780844742,10.0166536277842,8.07034410056109
"1933",8.95833333333333,0.4675,0.42625,12.9333333333333,3.22291666666667,188.642435830917,9.87813778245078,8.99828788847121,11.0972484329672
"1934",9.84416666666667,0.445416666666667,0.467083333333333,13.3833333333333,2.96875,200.926122485091,9.08612864704579,9.52660438002156,12.1964402101902
"1935",10.5991666666667,0.448333333333333,0.7425,13.725,2.72583333333333,210.785123612213,8.91763372507405,14.7661033392177,13.1210346448324
"1936",15.4683333333333,0.574166666666667,0.885833333333333,13.8666666666667,2.66375,304.390076703965,11.2939899884193,17.4292278678256,19.2582197850046
"1937",15.4058333333333,0.783333333333333,1.14833333333333,14.3833333333333,2.625,292.800899879041,14.8658821577658,21.7886705428366,18.4564520625683
"1938",11.4883333333333,0.696666666666667,0.790833333333333,14.0916666666667,2.46833333333333,222.642643129379,13.4904369273799,15.311447064996,13.9288362725432
"1939",12.0616666666667,0.548333333333333,0.773333333333333,13.9083333333333,2.29125,236.684008175791,10.7611640957776,15.1766523633539,15.5660029017091
"1940",11.0208333333333,0.650833333333333,1.0275,14.0083333333333,2.09083333333333,214.819604174639,12.6834637776007,20.0232554560819,14.685711745358
"1941",9.82416666666667,0.691666666666667,1.11583333333333,14.725,2.18375,182.473122782091,12.8307817730544,20.6813159571787,12.2131400923797
"1942",8.67333333333333,0.65,1.00833333333333,16.3333333333333,2.46458333333333,144.932618668173,10.8834968760227,16.8753026003285,9.23836369416503
"1943",11.5041666666667,0.595833333333333,1.05499975,17.3083333333333,2.47458333333333,181.380015208466,9.39883143132445,16.6421165484901,11.0420847806345
"1944",12.4683333333333,0.63,0.920833333333333,17.5916666666667,2.42958333333333,193.452222197745,9.77639463274478,14.2920685769707,11.3424264360186
"1945",15.1558333333333,0.653333333333333,0.975,17.9916666666667,2.2875,229.863145906435,9.91368901261625,14.7941830027538,13.2706302745942
"1946",17.0808333333333,0.685833333333333,0.914166416666667,19.5166666666667,2.2175,241.038594737478,9.62181012380869,12.8069664320569,14.0460187135213
"1947",15.1658333333333,0.766666666666667,1.42166666666667,22.325,2.33708333333333,185.594481285482,9.36911980127447,17.3498943369522,11.1728619855046
"1948",15.5325,0.8675,1.92583333333333,24.0416666666667,2.38041666666667,176.315062202476,9.85111317192819,21.8471675809988,10.6545457014376
"1949",15.23,1.02750025,2.37,23.8083333333333,2.31458333333333,174.656851926319,11.7841137316568,27.1764146192859,9.90177226174539
"1950",18.4,1.265,2.57416666666667,24.0666666666667,2.43458333333333,208.604250909375,14.3312972490241,29.172814750223,11.1825805322687
"1951",22.335,1.5075,2.65833333333333,25.9583333333333,2.62041666666667,234.854580325376,15.8591580350896,27.9767279802644,12.0081853817942
"1952",24.4975,1.4325,2.37833333333333,26.55,2.74875,251.871122574198,14.7300344501548,24.456983165434,12.4554494991472
"1953",24.7316666666667,1.42166666666667,2.49083333333333,26.7666666666667,2.839375,252.294941777934,14.5000619763975,25.4031569091172,12.0025251018651
"1954",29.6891666666667,1.475,2.62083333333333,26.85,2.40166666666667,301.924780575182,14.9980069009978,26.6493499957996,13.6644005293043
"1955",40.4933333333333,1.58916666666667,3.23916666666667,26.775,2.81666666666667,412.790203017538,16.2026897785063,33.0207309676088,17.5243151483864
"1956",46.6233333333333,1.76916666666667,3.5575,27.1833333333333,3.1825,468.253051689304,17.7662758748611,35.7425522303365,18.2586972739466
"1957",44.38,1.74833333333333,3.41833333333333,28.0916666666667,3.6475,431.408366055043,16.9909699227825,33.2227406571859,15.6139753113799
"1958",46.2383333333333,1.74833333333333,3,28.8583333333333,3.31583333333333,437.31707812068,16.5403854425866,28.3860060802453,15.1427334653695
"1959",57.3791666666667,1.79333333333333,3.29083333333333,29.15,4.33333333333333,537.359759345149,16.7947547669849,30.8138588594265,18.3669629217355
"1960",55.85,1.9375,3.3075,29.575,4.11666666666667,515.577473799452,17.8844499411358,30.5341679453197,17.4169250808629
"1961",66.2725,1.95916666666667,3.09666666666667,29.8916666666667,3.8825,605.212490609736,17.8928598927589,28.2823604785314,20.4566437038073
"1962",62.3825,2.06833333333333,3.47,30.25,3.94583333333333,563.165035937354,18.665740691972,31.312495072086,18.8235121608038
"1963",69.865,2.1975,3.85333333333333,30.625,4.0025,622.69744232143,19.5879757223605,34.3456785829361,20.2592394909351
"1964",81.3683333333333,2.39416666666667,4.33833333333333,31.0166666666667,4.18666666666667,716.117912622274,21.0713597225294,38.1811854883207,22.5534236628771
"1965",88.17,2.61666666666667,4.86916666666667,31.5083333333333,4.2825,763.905583902144,22.6695961875519,42.1809094942387,23.2621544519733
"1966",85.2566666666667,2.83,5.435,32.4583333333333,4.92333333333333,717.633711643864,23.8012410242302,45.7098199343864,21.3017639497493
"1967",91.9283333333333,2.90583333333333,5.37083333333333,33.3583333333333,5.07333333333333,752.178857858216,23.7825994531281,43.9640965708518,21.6061711009984
"1968",98.6941666666667,2.9975,5.57166666666667,34.7833333333333,5.64583333333333,774.263143461756,23.5259130420029,43.7251020311376,21.4860862636477
"1969",97.84,3.1275,5.83083333333333,36.6833333333333,6.67083333333333,728.775015344326,23.2790549560601,43.405725924496,19.4274846417754
"1970",83.22,3.17166666666667,5.46416666666667,38.825,7.34833333333333,585.431820183969,22.30762974094,38.4508224051457,15.1841516733847
"1971",98.2833333333333,3.09833333333333,5.37,40.4916666666667,6.15916666666667,662.732561333433,20.8930727831582,36.1990831822242,16.8672876013254
"1972",109.208333333333,3.08583333333333,6.025,41.8166666666667,6.21,712.830249652075,20.1468632218344,39.3246390442474,17.7687667275023
